"ConstituencyCode","Constituency","Nominate","NominateAlias","Gender","Occupation","Politics","NominateDate","Remarks","Candidate"
"A08","SAI WAN","CHONG Wing-fai Winfield","","M","Supervisor of Education Centre","The Democratic Party","7/10/2015","","CHONG WING FAI WINFIELD"
"A09","BELCHER","YIP Wing-shing","","M","Admin Officer","","2/10/2015","","YIP WING SHING"
"A09","BELCHER","YEUNG Sui-yin","Victor","M","Solicitor","The Democratic Party","5/10/2015","","YEUNG SUI YIN"
"A10","SHEK TONG TSUI","CHAN Choi-hi","","M","","","3/10/2015","","CHAN CHOI HI"
"A10","SHEK TONG TSUI","YIP Kam-lung Sam","","M","Cultural Event Organiser","","5/10/2015","","YIP KAM LUNG SAM"
"A11","SAI YING PUN","LO Yee-hang","","F","Solicitor","DAB","2/10/2015","","LO YEE HANG"
"A11","SAI YING PUN","NG Wing-tak","","M","Chef","","6/10/2015","","NG WING TAK"
"A12","SHEUNG WAN","LUI Hung-pan","Ben Lui","M","Social Worker","Independent Candidate","2/10/2015","","LUI HUNG PAN"
"A12","SHEUNG WAN","KAM Nai-wai","","M","Registered Social Worker/Member of Central & Western District Council","*The Democratic Party","2/10/2015","","KAM NAI WAI"
"A13","TUNG WAH","SIU Ka-yi","","F","Community Coordinator","DAB","2/10/2015","","SIU KA YI"
"A13","TUNG WAH","HO Chun-ki Frederick","","M","Solicitor","*The Democratic Party","2/10/2015","","HO CHUN KI FREDERICK"
"A14","CENTRE STREET","CHEUNG Kai-yin","","F","Assistant to Legislative Councilor","The Democratic Party","5/10/2015","","CHEUNG KAI YIN"
"A14","CENTRE STREET","LEE Chi-hang Sidney","","M","Solicitor","","7/10/2015","","LEE CHI HANG SIDNEY"
"A15","WATER STREET","YEUNG Hok-ming","","M","*Community Coordinator","DAB","2/10/2015","","YEUNG HOK MING"
"A15","WATER STREET","NG Hoi-yan Bonnie","","F","Senior Community Officer","The Democratic Party","5/10/2015","","NG HOI YAN BONNIE"
"A15","WATER STREET","LEE Sung-wai","","M","","","15/10/2015","","LEE SUNG WAI"
"B01","HENNESSY","CHEONG Man-lei","","F","Assistant Manager","* Independent","3/10/2015","","CHEONG MAN LEI"
"B01","HENNESSY","CHENG Ki-kin","","M","District Councillor","","5/10/2015","","CHENG KI KIN"
"B02","OI KWAN","TANG King-yung Anna","","F","District Councillor/Freelance","DAB","2/10/2015","","TANG KING YUNG ANNA"
"B02","OI KWAN","WONG Sui-lung","","M","","","10/10/2015","","WONG SUI LUNG"
"B03","CANAL ROAD","CHUNG Ka-man Jacqueline","","F","Centre-in-charge","DAB","2/10/2015","","CHUNG KA MAN JACQUELINE"
"B03","CANAL ROAD","HO Gloria Wing-ka","","F","","","15/10/2015","","HO GLORIA WING KA"
"B03","CANAL ROAD","TAI Cheuk-yin Leslie Spencer","","M","Cultural Promotion","Independent","15/10/2015","","TAI CHEUK YIN LESLIE SPENCER"
"B04","VICTORIA PARK","CHOW Kit-bing Jennifer","","F","District Councillor","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","CHOW KIT BING JENNIFER"
"B05","TIN HAU","LEE Man-lung Joey","","M","Full-time District Councillor","New People¡¦s Party","3/10/2015","","LEE MAN LUNG JOEY"
"B05","TIN HAU","CHAN Kin-kwok","","M","Registered Teacher (Retired)","The Democratic Party","5/10/2015","","CHAN KIN KWOK"
"B06","CAUSEWAY BAY","NG Yuen-ting Yolanda","","F","Director (E-commerce)","*Independent","12/10/2015","","NG YUEN TING YOLANDA"
"B07","TAI HANG","WONG Ching-chi Gigi","","F","Assistant General Manager","New People¡¦s Party","3/10/2015","","WONG CHING CHI GIGI"
"B07","TAI HANG","YEUNG Suet-ying Clarisse","","F","Part-time Lecturer","Independent Candidate","9/10/2015","","YEUNG SUET YING CLARISSE"
"B08","JARDINE'S LOOKOUT","LAM Wai-man Wind","Anson","M","Director","Liberal Party","6/10/2015","","LAM WAI MAN WIND"
"B08","JARDINE'S LOOKOUT","LAI David","","M","*Investment Expert","*Non-Affiliated Independent","12/10/2015","","LAI DAVID"
"B09","BROADWOOD","SIU See-kong","","M","*Solicitor","*Independent","8/10/2015","","SIU SEE KONG"
"B09","BROADWOOD","MAK Kwok-fung Michael","","M","Full-time Volunteer","League of Social Democrats","13/10/2015","","MAK KWOK FUNG MICHAEL"
"B09","BROADWOOD","TSE Wai-chun Paul","","M","Solicitor","Independent","14/10/2015","","TSE WAI CHUN PAUL"
"B10","HAPPY VALLEY","NG Kam-chun","Stephen","M","Executive Director","Independent","2/10/2015","","NG KAM CHUN"
"B10","HAPPY VALLEY","CHIEN Ka-wo Kelvin","","M","*IT Professional","","12/10/2015","","CHIEN KA WO KELVIN"
"B11","STUBBS ROAD","AU Lai-chong","","F","Financial Professional","","5/10/2015","","AU LAI CHONG"
"B11","STUBBS ROAD","WONG Wang-tai","","M","Certified Public Accountant","","8/10/2015","","WONG WANG TAI"
"B12","SOUTHORN","LEE Pik-yee","","F","District Councillor","Independent","10/10/2015","","LEE PIK YEE"
"B12","SOUTHORN","YEUNG Yau-fung","","F","Merchandiser","","15/10/2015","","YEUNG YAU FUNG"
"B13","TAI FAT HAU","LEE Kwun-yee Kenny","","F","District Councillor","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","LEE KWUN YEE KENNY"
"B13","TAI FAT HAU","LEUNG Pak-kin","","M","Professional Photographer","","5/10/2015","","LEUNG PAK KIN"
"C01","TAI KOO SHING WEST","CHIU Ka-yin Andrew","Andrew CHIU","M","District Councillor/Mediator/Doctoral Student","The Democratic Party","2/10/2015","","CHIU KA YIN ANDREW"
"C01","TAI KOO SHING WEST","NG Chi-lung","Tony","M","Journalist","","7/10/2015","","NG CHI LUNG"
"C02","TAI KOO SHING EAST","TSE Tsz-kei","Marcus","M","District Council Member","New People¡¦s Party","2/10/2015","","TSE TSZ KEI"
"C02","TAI KOO SHING EAST","WONG Chun-sing Patrick","","M","Civil Engineer","Independent","5/10/2015","","WONG CHUN SING PATRICK"
"C03","LEI KING WAN","YEUNG Sze-chun","","M","*Senior Manager/Radio Financial Programme Host","*Independent","2/10/2015","","YEUNG SZE CHUN"
"C03","LEI KING WAN","WONG Huk-kam","","M","Solicitor","Labour Party","5/10/2015","","WONG HUK KAM"
"C03","LEI KING WAN","FU Yuen-cheung Alexander","Alex Fu","M","Insurance","Non-affliated","13/10/2015","","FU YUEN CHEUNG ALEXANDER"
"C03","LEI KING WAN","HO Chiu-kwong Paul","","M","Retired","","15/10/2015","","HO CHIU KWONG PAUL"
"C04","ALDRICH BAY","NGAN Chun-lim","","M","","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","NGAN CHUN LIM"
"C04","ALDRICH BAY","CHAN Kar-pak","","M","Community Officer","The Democratic Party","2/10/2015","","CHAN KAR PAK"
"C05","SHAUKEIWAN","LAM Sum-lim","","M","","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","LAM SUM LIM"
"C05","SHAUKEIWAN","POON Wing-yin","","F","","","14/10/2015","","POON WING YIN"
"C05","SHAUKEIWAN","LEUNG Wing-sze","","F","Teacher","","14/10/2015","","LEUNG WING SZE"
"C06","A KUNG NGAM","TO Boon-man Daniel","","M","Designer Adminstrator","","7/10/2015","","TO BOON MAN DANIEL"
"C06","A KUNG NGAM","LAM Kei-tung George","","M","Director","","8/10/2015","","LAM KEI TUNG GEORGE"
"C06","A KUNG NGAM","HUNG Chi-kit","","M","Teacher","Democratic Alliance for the Betterment and Progress of Hong Kong","9/10/2015","","HUNG CHI KIT"
"C07","HENG FA CHUEN","HO Ngai-kam Stanley","Stanley","M","Elected District Council Member","The Hong Kong Federation of Trade Unions","2/10/2015","","HO NGAI KAM STANLEY"
"C07","HENG FA CHUEN","YEUNG Wai-hong","Dr. Martin","M","Education & Social Services","Independent","13/10/2015","","YEUNG WAI HONG"
"C07","HENG FA CHUEN","CHOW Wing-yee","","F","Community Coordinator","Independent","14/10/2015","","CHOW WING YEE"
"C08","TSUI WAN","KWAN Shui-lung","","M","","*Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","KWAN SHUI LUNG"
"C08","TSUI WAN","LAI LEUNG Siu-kwan","","F","","","8/10/2015","","LAI LEUNG SIU KWAN"
"C08","TSUI WAN","KU Kwai-yiu","","M","Technician","","12/10/2015","","KU KWAI YIU"
"C08","TSUI WAN","WAN Tsz-fung Jeff","","M","","","14/10/2015","","WAN TSZ FUNG JEFF"
"C09","YAN LAM","WONG Kin-hing","","M","Finance","","3/10/2015","","WONG KIN HING"
"C10","SIU SAI WAN","WONG Kwok-hing","","M","Legislative Member","The Hong Kong Federation of Trade Unions (FTU)","2/10/2015","","WONG KWOK HING"
"C10","SIU SAI WAN","CHU Yat-on","","M","","","7/10/2015","","CHU YAT ON"
"C10","SIU SAI WAN","TAM Tak-chi","","M","Community Coordinator","People Power","14/10/2015","","TAM TAK CHI"
"C11","KING YEE","LEUNG Kwok-hung David","","M","District Councillor","The Hong Kong Federation of Trade Unions","2/10/2015","","LEUNG KWOK HUNG DAVID"
"C11","KING YEE","YEUNG Hon-sing","","M","Director","Independent Candidate","5/10/2015","","YEUNG HON SING"
"C11","KING YEE","WONG Kwan-fung","","M","","Independent Candidate","12/10/2015","","WONG KWAN FUNG"
"C11","KING YEE","CHAN Yiu-tak","","M","","","15/10/2015","","CHAN YIU TAK"
"C12","WAN TSUI","KUNG Pak-cheung","","M","","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","KUNG PAK CHEUNG"
"C12","WAN TSUI","NG Yin-keung","","M","Full-time District Developer","Civic Party","5/10/2015","","NG YIN KEUNG"
"C13","FEI TSUI","LI Lee","Lily LEE","F","Director","*Independent","2/10/2015","","LI LEE"
"C13","FEI TSUI","LAI Chi-keong Joseph","","M","Full-time District Council Member","Civic Party","5/10/2015","","LAI CHI KEONG JOSEPH"
"C13","FEI TSUI","LUI Chi-man","","M","Communication","Independent Democrats","13/10/2015","","LUI CHI MAN"
"C14","MOUNT PARKER","WONG Kin-pan","","M","Full-time District Council Member","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","WONG KIN PAN"
"C15","BRAEMAR HILL","SHIU Ka-fai","","M","*Director","Liberal Party","2/10/2015","","SHIU KA FAI"
"C16","FORTRESS HILL","LO Wing-kwan Frankie","LO Shan","M","Station Announcer","","7/10/2015","","LO WING KWAN FRANKIE"
"C17","CITY GARDEN","HUI Ching-on","","M","Legal and Financial Consultant","","2/10/2015","","HUI CHING ON"
"C18","PROVIDENT","KWOK Wai-keung","","M","Full-time Councilor","The Hong Kong Federation of Trade Unions","2/10/2015","","KWOK WAI KEUNG"
"C19","FORT STREET","HUNG Lin-cham","","M","Secondary School Teacher","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","HUNG LIN CHAM"
"C20","KAM PING","CHOY So-yuk","","F","Merchant","Democratic Alliance for the Betterment and Progress of Hong Kong","9/10/2015","","CHOY SO YUK"
"C21","TANNER","TSANG Cheuk-yi","","F","Director","Liberal Party","2/10/2015","","TSANG CHEUK YI"
"C21","TANNER","CHENG Tat-hung","","M","District Developer","Civic Party","5/10/2015","","CHENG TAT HUNG"
"C22","HEALTHY VILLAGE","CHENG Chi-sing","","M","","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","CHENG CHI SING"
"C23","QUARRY BAY","TING Kong-ho Eddie","","M","Secondary School Teacher","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","TING KONG HO EDDIE"
"C23","QUARRY BAY","IP Chee-tak","","M","Teacher","","14/10/2015","","IP CHEE TAK"
"C24","NAM FUNG","CHEUNG Kwok-cheong","","M","Full-time District Councillor","The Democratic Party","2/10/2015","","CHEUNG KWOK CHEONG"
"C24","NAM FUNG","YANG Mo","","M","","","7/10/2015","","YANG MO"
"C24","NAM FUNG","LI Chak-sum","","M","","","8/10/2015","","LI CHAK SUM"
"C25","KORNHILL","HUNG Lung-chuen","","M","","New People¡¦s Party","2/10/2015","","HUNG LUNG CHUEN"
"C25","KORNHILL","LEUNG Wing-man","Bonnie","F","Senior Analyst (Political Research and District Development)","Civic Party","5/10/2015","","LEUNG WING MAN"
"C25","KORNHILL","WONG Po-yi","","F","","","12/10/2015","","WONG PO YI"
"C26","KORNHILL GARDEN","KONG Yuk-foon Doreen","","F","Solicitor","New People¡¦s Party","2/10/2015","","KONG YUK FOON DOREEN"
"C26","KORNHILL GARDEN","LEUNG Siu-sun","","M","Research Director","Civic Party","5/10/2015","","LEUNG SIU SUN"
"C27","HING TUNG","HUI Lam-hing","","M","Elected District Council Member","The Hong Kong Federation of Trade Unions","2/10/2015","","HUI LAM HING"
"C27","HING TUNG","TSANG Kwok-fai","","M","Community Officer","Labour Party","5/10/2015","","TSANG KWOK FAI"
"C28","SAI WAN HO","KONG Chack-ho","","M","District Councillor","Independent","2/10/2015","","KONG CHACK HO"
"C28","SAI WAN HO","MAK Tak-ching","","M","Community Officer","Labour Party","5/10/2015","","MAK TAK CHING"
"C29","LOWER YIU TUNG","WONG Sze-chin Ricky","Ricky","M","Manager","","2/10/2015","","WONG SZE CHIN RICKY"
"C29","LOWER YIU TUNG","WONG Chi-chung","Dominic","M","Executive","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","WONG CHI CHUNG"
"C29","LOWER YIU TUNG","NG Kam-wai","","M","","","8/10/2015","","NG KAM WAI"
"C30","UPPER YIU TUNG","CHIU Chi-keung","","M","Elected District Council Member","The Hong Kong Federation of Trade Unions","2/10/2015","","CHIU CHI KEUNG"
"C31","HING MAN","LAU Hing-yeung","","M","District Councillor","Democratic Alliance for the Betterment and Progress of Hong Kong","2/10/2015","","LAU HING YEUNG"
"C31","HING MAN","CHEUNG Chun-pong","","M","Social Worker","","9/10/2015","","CHEUNG CHUN PONG"
"C32","LOK HONG","LI Chun-chau","","F","District Councillor","","3/10/2015","","LI CHUN CHAU"
"C32","LOK HONG","TSANG Kin-shing","The Bull","M","Community Organizer","League of Social Democrats","8/10/2015","","TSANG KIN SHING"
"C32","LOK HONG","LUN Man-kit","","M","","","15/10/2015","","LUN MAN KIT"
"C33","TSUI TAK","LEE Chun-keung","","M","Manager","Liberal Party","2/10/2015","","LEE CHUN KEUNG"
"C33","TSUI TAK","LI Kin-hang","","M","Certified Public Accountant","","14/10/2015","","LI KIN HANG"
"C34","YUE WAN","CHUNG Shu-kun Christopher","Chris CHUNG","M","Councillor","Democratic Alliance for the Betterment and Progress of Hong Kong","13/10/2015","","CHUNG SHU KUN CHRISTOPHER"
"C34","YUE WAN","CHUI Chi-kin","","M","Merchant","Independent","15/10/2015","","CHUI CHI KIN"
"C35","KAI HIU","LAM Chui-lin","Alice","F","Full time District Councillor","","2/10/2015","","LAM CHUI LIN"
"C35","KAI HIU","CHIK Kit-ling Elaine","","F","Assistant to Legislative Councillor","Independent","9/10/2015","","CHIK KIT LING ELAINE"
"D01","ABERDEEN","YAM Pauline","","F","Director","Independent Candidate","2/10/2015","","YAM PAULINE"
"D01","ABERDEEN","MAN Ho-keung Zico","","M","","Civic Party","7/10/2015","","MAN HO KEUNG ZICO"
"D01","ABERDEEN","HO Wai-chun","","M","Policy Research","","9/10/2015","","HO WAI CHUN"
"D01","ABERDEEN","LEE Kit-hing","","M","Senior Financial Planning Consultant","","9/10/2015","","LEE KIT HING"
"D02","AP LEI CHAU ESTATE","LAM Yuk-chun","","F","Full-time Southern District Council Member","Independent Candidate","2/10/2015","","LAM YUK CHUN"
"D03","AP LEI CHAU NORTH","CHEUNG Sik-yung","","F","Full-time Councilor","Independent Candidate","2/10/2015","","CHEUNG SIK YUNG"
"D03","AP LEI CHAU NORTH","LEUNG Kwok-keung","","M","Company Director","","15/10/2015","","LEUNG KWOK KEUNG"
"D04","LEI TUNG I","LI Ka-ying","","F","","DAB","2/10/2015","","LI KA YING"
"D04","LEI TUNG I","AU Nok-hin","","M","Full-time District Councillor","The Democratic Party/Ap Lei Chau Community Trade Union","2/10/2015","","AU NOK HIN"
"D04","LEI TUNG I","WONG Yun-kei","","M","","","12/10/2015","","WONG YUN KEI"
"D05","LEI TUNG II","PANG Siu-kei","","M","","DAB","2/10/2015","","PANG SIU KEI"
"D05","LEI TUNG II","LO Kin-hei","","M","Full-time District Councillor","The Democratic Party","2/10/2015","","LO KIN HEI"
"D05","LEI TUNG II","TANG Ka-lok","","M","Digital Printing","","12/10/2015","","TANG KA LOK"
"D05","LEI TUNG II","TSOI Man-lung Timothy","","M","","*Civic Passion","12/10/2015","","TSOI MAN LUNG TIMOTHY"
"D06","SOUTH HORIZONS EAST","LAM Kai-fai","","M","Consultant of Arts","Independent Candidate","7/10/2015","","LAM KAI FAI"
"D06","SOUTH HORIZONS EAST","CHAN Ka-lok","Dr. Kenneth CHAN","M","Associate Professor/Legislative Councillor","Civic Party","7/10/2015","","CHAN KA LOK"
"D06","SOUTH HORIZONS EAST","AU Yuen-fat Joseph","","M","","","9/10/2015","","AU YUEN FAT JOSEPH"
"D07","SOUTH HORIZONS WEST","CHAN Judy Kapui","","F","District Councillor","New People¡¦s Party","3/10/2015","","CHAN JUDY KAPUI"
"D07","SOUTH HORIZONS WEST","YUEN Mi-ming Erica","","F","Managing Director","People Power","14/10/2015","","YUEN MI MING ERICA"
"D08","WAH KWAI","MAK TSE How-ling Ada","","F","Principal","DAB","2/10/2015","","MAK TSE HOW LING ADA"
"D08","WAH KWAI","YEUNG Siu-pik","","F","Director","Democratic Party","2/10/2015","","YEUNG SIU PIK"
"D08","WAH KWAI","LAU Pak-tung","Daniel LAU","M","","","15/10/2015","","LAU PAK TUNG"
"D09","WAH FU SOUTH","AU Lap-sing","","M","Full Time District Councillor","","2/10/2015","","AU LAP SING"
"D09","WAH FU SOUTH","LI Shee-lin","","F","Community Officer","The Democratic Party","2/10/2015","","LI SHEE LIN"
"D10","WAH FU NORTH","WONG Choi-lap","","M","Co-ordinator","DAB","2/10/2015","","WONG CHOI LAP"
"D10","WAH FU NORTH","CHAI Man-hon","","M","Southern District Councillor","The Democratic Party","2/10/2015","","CHAI MAN HON"
"D10","WAH FU NORTH","WUN Kei-yan","","F","","","8/10/2015","","WUN KEI YAN"
"D10","WAH FU NORTH","LAW Yuet-wah","","F","Financial Planning Officer","Independent Candidate","10/10/2015","","LAW YUET WAH"
"D11","POKFULAM","YOUNG Chit-on Jeremy","","M","Executive Director","Liberal Party","5/10/2015","","YOUNG CHIT ON JEREMY"
"D11","POKFULAM","ZIMMERMAN Paulus Johannes","Paul ZIMMERMAN","M","District Councillor","Independent Democrat","8/10/2015","","ZIMMERMAN PAULUS JOHANNES"
"D12","CHI FU","CHU Ching-hong","","M","District Councillor/University Consultant","Independent Candidate","2/10/2015","","CHU CHING HONG"
"D12","CHI FU","YIU Chung-yim","","M","Associate Professor","","7/10/2015","","YIU CHUNG YIM"
"D13","TIN WAN","CHAN Fu-ming","","M","","","8/10/2015","","CHAN FU MING"
"D14","SHEK YUE","CHU Lap-wai","","M","District Councillor","DAB","2/10/2015","","CHU LAP WAI"
"D15","WONG CHUK HANG","CHAN Wing-yan","","F","*Legislative Assistant","*The Hong Kong Federation of Trade Unions","2/10/2015","","CHAN WING YAN"
"D15","WONG CHUK HANG","TSUI Yuen-wa","","M","Full Time District Councillor","Democratic Party","2/10/2015","","TSUI YUEN WA"
"D16","BAYS AREA","SCHAUS David John","David SCHAUS","M","Engineer","","2/10/2015","","SCHAUS DAVID JOHN"
"D16","BAYS AREA","FUNG Se-goun Fergus","","M","","Liberal Party","5/10/2015","","FUNG SE GOUN FERGUS"
"D17","STANLEY & SHEK O","YAO Jie-ning Maxine","","F","Probationer in General Practice Surveying","","2/10/2015","","YAO JIE NING MAXINE"
"D17","STANLEY & SHEK O","LEE Pui-ying","CHAN LEE Pui-ying","F","Director","","2/10/2015","","LEE PUI YING"
"D17","STANLEY & SHEK O","TSANG Tsz-ho","","M","Director","Liberal Party","15/10/2015","","TSANG TSZ HO"
"E01","TSIM SHA TSUI WEST","HUNG Chiu-wah","Derek","M","*Director/District Councilor","DAB","9/10/2015","","HUNG CHIU WAH"
"E01","TSIM SHA TSUI WEST","LAU Chi-hung","","M","Pastor","","12/10/2015","","LAU CHI HUNG"
"E02","JORDAN SOUTH","IP Ngo-tung Chris","","M","News Executive/District Councilor","DAB","9/10/2015","","IP NGO TUNG CHRIS"
"E02","JORDAN SOUTH","LUI Ngar-yee Joey","","F","","","15/10/2015","","LUI NGAR YEE JOEY"
"E03","JORDAN WEST","CHAN Siu-tong","","M","","DAB","9/10/2015","","CHAN SIU TONG"
"E04","YAU MA TEI SOUTH","AU YEUNG Tung","","M","Community Coordinator","Hong Kong Association for Democracy and People's Livelihood","6/10/2015","","AU YEUNG TUNG"
"E04","YAU MA TEI SOUTH","YEUNG Tsz-hei","Benny","M","District Councillor","DAB","9/10/2015","","YEUNG TSZ HEI"
"E05","CHARMING","LEE Wai-fung","","M","","The Democratic Party","7/10/2015","","LEE WAI FUNG"
"E05","CHARMING","CHUNG Kong-mo","","M","District Councilor","DAB","9/10/2015","","CHUNG KONG MO"
"E06","MONG KOK WEST","HUI Tak-leung","","M","*District Councillor","","2/10/2015","","HUI TAK LEUNG"
"E07","FU PAK","YU Tak-po","","M","Full-time District Developer","Civic Party","5/10/2015","","YU TAK PO"
"E07","FU PAK","LAW Siu-hung Paul","","M","CEO","Independent Candidate","8/10/2015","","LAW SIU HUNG PAUL"
"E08","OLYMPIC","KO Hiu-wing","Patrick","M","Company Director","Independent Candidate","2/10/2015","","KO HIU WING"
"E08","OLYMPIC","TO Kun-sun James","","M","Legislator/Solicitor","The Democratic Party","7/10/2015","","TO KUN SUN JAMES"
"E09","CHERRY","CHUNG Chak-fai","","M","","","2/10/2015","","CHUNG CHAK FAI"
"E09","CHERRY","LAM Ho-yeung","","M","Chief Executive Officer (Social Worker)","The Democratic Party","7/10/2015","","LAM HO YEUNG"
"E09","CHERRY","NAKADE Hitsujiko","","M","","","15/10/2015","","NAKADE HITSUJIKO"
"E10","TAI KOK TSUI SOUTH","CHOI Siu-fung Benjamin","","M","","DAB","9/10/2015","","CHOI SIU FUNG BENJAMIN"
"E10","TAI KOK TSUI SOUTH","LAI Yiu-chun","","M","Accountant","Youngspiration","9/10/2015","","LAI YIU CHUN"
"E11","TAI KOK TSUI NORTH","WONG Ka-ying","","F","Professional Accountant","Civic Party","5/10/2015","","WONG KA YING"
"E11","TAI KOK TSUI NORTH","LAU Pak-kei","","M","","DAB","9/10/2015","","LAU PAK KEI"
"E12","TAI NAN","CHONG Wing-charn Francis","","M","Solicitor","Kowloon West New Dynamic/BPA","7/10/2015","","CHONG WING CHARN FRANCIS"
"E12","TAI NAN","CHIU Yuk-kwong","","M","Registered Nurse","Youngspiration","12/10/2015","","CHIU YUK KWONG"
"E12","TAI NAN","FUNG Joshua Man-tao","","M","Community Officer","The Democratic Party","13/10/2015","","FUNG JOSHUA MAN TAO"
"E13","MONG KOK NORTH","WONG Shu-ming","","F","Full Time District Councillor","Kowloon West New Dynamic","8/10/2015","","WONG SHU MING"
"E13","MONG KOK NORTH","WONG Ka-chun","","M","Teacher","Youngspiration","13/10/2015","","WONG KA CHUN"
"E14","MONG KOK EAST","TSE Jefferson Keller","","M","Property Manager & Engineering Consultant","Independent","7/10/2015","","TSE JEFFERSON KELLER"
"E14","MONG KOK EAST","LAU Chun-yip","","M","Community Officer","The Democratic Party","12/10/2015","","LAU CHUN YIP"
"E14","MONG KOK EAST","WONG Kin-san","","M","District Councillor/Policy Researcher","","14/10/2015","","WONG KIN SAN"
"E15","MONG KOK SOUTH","CHOW Chun-fai","","M","Manager","","2/10/2015","","CHOW CHUN FAI"
"E16","YAU MA TEI NORTH","LAM Kin-man","","M","Solicitor","ADPL","2/10/2015","","LAM KIN MAN"
"E16","YAU MA TEI NORTH","MAN Yun-wa","","M","","*FTU","2/10/2015","","MAN YUN WA"
"E17","EAST TSIM SHA TSUI & KING'S PARK","TANG Ming-sum Michelle","","F","Civil Engineer","","2/10/2015","","TANG MING SUM MICHELLE"
"E17","EAST TSIM SHA TSUI & KING'S PARK","CHAN Man-yu Henry","","M","Management Consultant","The Professional Commons","13/10/2015","","CHAN MAN YU HENRY"
"E18","TSIM SHA TSUI CENTRAL","AHUJA Gopaldas Holaram","Gary AHUJA","M","Director","","7/10/2015","Withdrawn on 15.10.2015","AHUJA GOPALDAS HOLARAM"
"E18","TSIM SHA TSUI CENTRAL","KWAN Sau-ling","","F","District Councilor","DAB","9/10/2015","","KWAN SAU LING"
"E18","TSIM SHA TSUI CENTRAL","LIU Siu-fai","","M","","","9/10/2015","","LIU SIU FAI"
"E19","JORDAN NORTH","JO Chun-wah","Craig","M","I.T. Company Founder","DAB","9/10/2015","","JO CHUN WAH"
"E19","JORDAN NORTH","CHICK Chi-leung","","M","Construction Site Carpenter","","14/10/2015","","CHICK CHI LEUNG"
"F01","PO LAI","TSE Hiu-hung","","F","Community Officer","","2/10/2015","","TSE HIU HUNG"
"F01","PO LAI","LEUNG Yau-fong","","M","","ADPL","5/10/2015","","LEUNG YAU FONG"
"F02","CHEUNG SHA WAN","LAM Ka-fai Aaron","","M","Interior Design Consultant","BPA/Kowloon West New Dynamic","2/10/2015","","LAM KA FAI AARON"
