"ConstituencyCode","Constituency","Nominate","NominateAlias","Gender","Occupation","Politics","NominateDate","Remarks","Candidate"
"A10","¥Û¶í©C","³¯°]³ß","","¨k","","","2015¦~10¤ë3¤é","","³¯°]³ß"
"A10","¥Û¶í©C","¸­ÀAÀs","","¨k","¤å³Ð¬¡°Êµ¦¹º","","2015¦~10¤ë5¤é","","¸­ÀAÀs"
"A11","¦èÀç½L","¿cÅt§ö","","¤k","«ß®v","¥Á«ØÁp","2015¦~10¤ë2¤é","","¿cÅt§ö"
"A11","¦èÀç½L","¥î¥Ã¼w","","¨k","¼p®v","","2015¦~10¤ë6¤é","","¥î¥Ã¼w"
"A12","¤WÀô","§fÂE»«","","¨k","µù¥UªÀ¤u","¿W¥ß­Ô¿ï¤H","2015¦~10¤ë2¤é","","§fÂE»«"
"A12","¤WÀô","¥Ì¤D«Â","","¨k","µù¥UªÀ·|¤u§@ªÌ/¤¤¦è°Ï°ÏÄ³­û","¥Á¥DÄÒ","2015¦~10¤ë2¤é","","¥Ì¤D«Â"
"A13","ªFµØ","¿½¹Å©É","","¤k","ªÀ°Ï¥D¥ô","¥Á«ØÁp","2015¦~10¤ë2¤é","","¿½¹Å©É"
"A13","ªFµØ","¦ó«TÄQ","","¨k","«ß®v","¥Á¥DÄÒ","2015¦~10¤ë2¤é","","¦ó«TÄQ"
"A14","¥¿µó","±i±Ò©ý","","¤k","¥ßªk·|Ä³­û§U²z","¥Á¥DÄÒ","2015¦~10¤ë5¤é","","±i±Ò©ý"
"A14","¥¿µó","§õ§ÓùÚ","","¨k","°õ·~«ß®v","","2015¦~10¤ë7¤é","","§õ§ÓùÚ"
"A15","¤ôµó","·¨¾Ç©ú","","¨k","*ªÀ°Ï¥D¥ô","¥Á«ØÁp","2015¦~10¤ë2¤é","","·¨¾Ç©ú"
"A15","¤ôµó","¥î³ÍªY","","¤k","°ª¯ÅªÀ°Ïµo®i¥D¥ô","¥Á¥DÄÒ","2015¦~10¤ë5¤é","","¥î³ÍªY"
"A15","¤ôµó","§õ±R«Â","","¨k","","","2015¦~10¤ë15¤é","","§õ±R«Â"
"B01","°a¥§¸Ö","±i°Ò²ú","","¤k","§U²z¸g²z","*¿W¥ß","2015¦~10¤ë3¤é","","±i°Ò²ú"
"B01","°a¥§¸Ö","¾G¨ä«Ø","","¨k","°ÏÄ³­û","","2015¦~10¤ë5¤é","","¾G¨ä«Ø"
"B02","·R¸s","¾Gµ^²W","","¤k","°ÏÄ³­û/¦Û¥Ñ¼¶½Z¤H","¥Á«ØÁp","2015¦~10¤ë2¤é","","¾Gµ^²W"
"B02","·R¸s","<U+9EC4>·çÀs","","¨k","µû½×¤H/¦a°Ï¥D¥ô","¿W¥ß­Ô¿ï¤H","2015¦~10¤ë10¤é","","<U+9EC4>·çÀs"
"B03","ÃZÀV","Áé¹Å±Ó","","¤k","¤¤¤ß¥D¥ô","¥Á«ØÁp","2015¦~10¤ë2¤é","","Áé¹Å±Ó"
"B03","ÃZÀV","¦óµú¹Å","","¤k","","","2015¦~10¤ë15¤é","","¦óµú¹Å"
"B03","ÃZÀV","À¹¨ô½å","","¨k","¤å¤Æ±À¼s","¿W¥ß","2015¦~10¤ë15¤é","","À¹¨ô½å"
"B04","ºû¶é","©P¼ä¦B","","¤k","¥þÂ¾°ÏÄ³­û","¥Á¥D«Ø´ä¨ó¶iÁp·ù","2015¦~10¤ë2¤é","","©P¼ä¦B"
"B05","¤Ñ¦Z","§õ¤åÀs","","¨k","¥þÂ¾°ÏÄ³­û","·s¥ÁÄÒ","2015¦~10¤ë3¤é","","§õ¤åÀs"
"B05","¤Ñ¦Z","³¯«Ø°ê","","¨k","µù¥U±Ð®v(°h¥ð)","¥Á¥DÄÒ","2015¦~10¤ë5¤é","","³¯«Ø°ê"
"B06","»ÉÆrÆW","¥î°û´@","","¤k","¹q¤l°Ó°ÈÁ`ºÊ","*¿W¥ß","2015¦~10¤ë12¤é","","¥î°û´@"
"B07","¤j§|","¤ý¬FªÛ","","¤k","§U²zÁ`¸g²z","·s¥ÁÄÒ","2015¦~10¤ë3¤é","","¤ý¬FªÛ"
"B07","¤j§|","·¨³·¬Õ","","¤k","¤j±M­Ý¥ôÁ¿®v","¿W¥ß­Ô¿ï¤H","2015¦~10¤ë9¤é","","·¨³·¬Õ"
"B08","´í¨l¤s","ªL°¶¤å","","¨k","¤½¥q¸³¨Æ","¦Û¥ÑÄÒ","2015¦~10¤ë6¤é","","ªL°¶¤å"
"B08","´í¨l¤s","¾¤¤j°¶","","¨k","*§ë¸ê±M®a","","2015¦~10¤ë12¤é","","¾¤¤j°¶"
"B09","¼Ö¬¡","¿½«ä¦¿","","¨k","¨Æ°È«ß®v","*¿W¥ß","2015¦~10¤ë8¤é","","¿½«ä¦¿"
"B09","¼Ö¬¡","³Á°ê­·","","¨k","¥þÂ¾ªÀ·|ªA°È¸q¤u","ªÀ·|¥Á¥D³s½u","2015¦~10¤ë13¤é","","³Á°ê­·"
"B09","¼Ö¬¡","ÁÂ°¶«T","","¨k","«ß®v","¿W¥ß","2015¦~10¤ë14¤é","","ÁÂ°¶«T"
"B10","¶]°¨¦a","§dÀA¬z","","¨k","¦æ¬F¸³¨Æ","¿W¥ß","2015¦~10¤ë2¤é","","§dÀA¬z"
"B10","¶]°¨¦a","¿ú®a©M","","¨k","*«OÀI·~¹q¸£±q·~­û","","2015¦~10¤ë12¤é","","¿ú®a©M"
"B11","¥q®{©Þ¹D","°ÏÄR²ø","","¤k","ª÷¿Ä±q·~­û","","2015¦~10¤ë5¤é","","°ÏÄR²ø"
"B11","¥q®{©Þ¹D","¶À§»®õ","","¨k","°õ·~·|­p®v","","2015¦~10¤ë8¤é","","¶À§»®õ"
"B12","­×¹y","§õºÑ»ö","","¤k","°ÏÄ³­û","¿W¥ß¤H¤h","2015¦~10¤ë10¤é","","§õºÑ»ö"
"B12","­×¹y","·¨¥®®p","","¤k","¦¨¦ç±ÄÁÊ","","2015¦~10¤ë15¤é","","·¨¥®®p"
"B13","¤j¦ò¤f","§õ§¡À[","","¤k","°ÏÄ³­û","¥Á¥D«Ø´ä¨ó¶iÁp·ù","2015¦~10¤ë2¤é","","§õ§¡À["
"B13","¤j¦ò¤f","±ç¬f°í","","¨k","±M·~Äá¼v®v","","2015¦~10¤ë5¤é","","±ç¬f°í"
"* ¦]À³­Ô¿ï¤Hªº­n¨D¡A³o¶µ¸ê®Æ¤w³Q§ó§ï/§R°£","","","","","","","","",""
"C01","¤Ó¥j«°¦è","»¯®a½å","","¨k","²{¥ô°ÏÄ³­û/»{¥i½Õ¸Ñ­û/³Õ¤h¥Í","¥Á¥DÄÒ","2015¦~10¤ë2¤é","","»¯®a½å"
"C01","¤Ó¥j«°¦è","§d§Ó¶©","","¨k","¶Ç´C¤u§@ªÌ","","2015¦~10¤ë7¤é","","§d§Ó¶©"
"C02","¤Ó¥j«°ªF","ÁÂ¤l¸R","","¨k","°ÏÄ³­û","·s¥ÁÄÒ","2015¦~10¤ë2¤é","","ÁÂ¤l¸R"
"C02","¤Ó¥j«°ªF","¤ý®¶¬P","","¨k","¤g¤ì¤uµ{®v","¿W¥ßµLÄÒ¬£","2015¦~10¤ë5¤é","","¤ý®¶¬P"
"C03","ÃU´ºÆW","·¨´µµ¤","","¨k","*°ª¯Å¸g²z/¹q¥x°]¸g¸`¥Ø¥D«ù","*¿W¥ß","2015¦~10¤ë2¤é","","·¨´µµ¤"
"C03","ÃU´ºÆW","¤ý¾Ç¤µ","","¨k","«ß®v","¤uÄÒ","2015¦~10¤ë5¤é","","¤ý¾Ç¤µ"
"C03","ÃU´ºÆW","³Å¤¸³¹","","¨k","«OÀI","µLÄÒ¬£­Ô¿ï¤H","2015¦~10¤ë13¤é","","³Å¤¸³¹"
"C03","ÃU´ºÆW","¦ó¶W¥ú","","¨k","°h¥ð","","2015¦~10¤ë15¤é","","¦ó¶W¥ú"
"C04","·R¯´§ÇÆW","ÃC´L·G","","¨k","®È¦æªÀ°ª¯Å¦æ¬FºÞ²z¤H­û","¥Á¥D«Ø´ä¨ó¶iÁp·ù","2015¦~10¤ë2¤é","","ÃC´L·G"
"C04","·R¯´§ÇÆW","³¯¹Å<U+6822>","","¨k","ªÀ°Ï¥D¥ô","¥Á¥DÄÒ","2015¦~10¤ë2¤é","","³¯¹Å<U+6822>"
"C05","ßKºßÆW","ªL¤ß<U+4EB7>","","¨k","","¥Á¥D«Ø´ä¨ó¶iÁp·ù","2015¦~10¤ë2¤é","","ªL¤ß<U+4EB7>"
"C05","ßKºßÆW","¼ïµú§°","","¤k","","","2015¦~10¤ë14¤é","","¼ïµú§°"
"C05","ßKºßÆW","±çµú¸Ö","","¤k","¤¤¾Ç±Ð®v","","2015¦~10¤ë14¤é","","±çµú¸Ö"
"C06","ªü¤½©¥","§ù¥»¤å","","¨k","³]­p®v¦æ¬F¸g²z","","2015¦~10¤ë6¤é","","§ù¥»¤å"
"C06","ªü¤½©¥","ªL¨äªF","","¨k","¸³¨Æ","","2015¦~10¤ë8¤é","","ªL¨äªF"
"C06","ªü¤½©¥","¬x§Ó³Ç","","¨k","¤¤¾Ç±Ð®v","¥Á¥D«Ø´ä¨ó¶iÁp·ù","2015¦~10¤ë9¤é","","¬x§Ó³Ç"
"C07","§öªá<U+90A8>","¦ó¼Ý²h","","¨k","¥Á¿ï°ÏÄ³­û","­»´ä¤u·|Áp¦X·|","2015¦~10¤ë2¤é","","¦ó¼Ý²h"
"C07","§öªá<U+90A8>","·¨°¶±d","","¨k","±Ð¨|¤ÎªÀ·|ªA°È","¿W¥ß","2015¦~10¤ë13¤é","","·¨°¶±d"
"C07","§öªá<U+90A8>","©Pµú»ö","","¤k","ªÀ°Ï¥D¥ô","¿W¥ßµLÄÒ¬£","2015¦~10¤ë14¤é","","©Pµú»ö"
"C08","»AÆW","Ãö·çÀs","","¨k","*¥þÂ¾°ÏÄ³­û","*¥Á¥D«Ø´ä¨ó¶iÁp·ù","2015¦~10¤ë2¤é","","Ãö·çÀs"
"C08","»AÆW","¾¤±ç¯º¸s","","¤k","ªÀ°Ï¤u§@ªÌ","¿W¥ß­Ô¿ï¤H","2015¦~10¤ë8¤é","","¾¤±ç¯º¸s"
"C08","»AÆW","¥j®ÛÄ£","","¨k","¤j·H¤uµ{«O¾i­û","¿W¥ß","2015¦~10¤ë12¤é","","¥j®ÛÄ£"
"C08","»AÆW","¤¨±ê²l","","¨k","","","2015¦~10¤ë14¤é","","¤¨±ê²l"
"C09","ªYÂÅ","¶À°·¿³","","¨k","ª÷¿Ä","","2015¦~10¤ë3¤é","","¶À°·¿³"
"C10","¤p¦èÆW","¤ý°ê¿³","","¨k","¥ßªk·|Ä³­û","­»´ä¤u·|Áp¦X·|(¤uÁp·|)","2015¦~10¤ë2¤é","","¤ý°ê¿³"
"C10","¤p¦èÆW","¦¶¤é¦w","","¨k","°Ó¤H","","2015¦~10¤ë7¤é","","¦¶¤é¦w"
"C10","¤p¦èÆW","ÃÓ±o§Ó","§Ö¥²","¨k","ªÀ°Ï¥D¥ô","¤H¥Á¤O¶q","2015¦~10¤ë14¤é","","ÃÓ±o§Ó(§Ö¥²)"
"C11","´º©É","±ç°êÂE","","¨k","°ÏÄ³­û","­»´ä¤u·|Áp¦X·|","2015¦~10¤ë2¤é","","±ç°êÂE"
"C11","´º©É","·¨º~¦¨","","¨k","¤½¥q¸³¨Æ","¿W¥ß­Ô¿ï¤H","2015¦~10¤ë5¤é","","·¨º~¦¨"
"C11","´º©É","¶À¸s®p","","¨k","","¿W¥ß­Ô¿ï¤H","2015¦~10¤ë12¤é","","¶À¸s®p"
"C11","´º©É","³¯Ä£¼w","","¨k","¦Ñ®v(°h¥ð)","¿W¥ß","2015¦~10¤ë15¤é","","³¯Ä£¼w"
"C12","Àô»A","ÅÇ<U+6822>²»","","¨k","","¥Á¥D«Ø´ä¨ó¶iÁp·ù","2015¦~10¤ë2¤é","","ÅÇ<U+6822>²»"
"C12","Àô»A","§d«Û±j","","¨k","±MÂ¾¦a°Ïµo®i¥D¥ô","¤½¥ÁÄÒ","2015¦~10¤ë5¤é","","§d«Û±j"
"C13","»B»A","§õ²ú","","¤k","¤½¥q¸³¨Æ","*¿W¥ßµLÄÒ¬£","2015¦~10¤ë2¤é","","§õ²ú"
"C13","»B»A","¾¤§Ó±j","","¨k","¥þÂ¾°ÏÄ³­û","¤½¥ÁÄÒ","2015¦~10¤ë5¤é","","¾¤§Ó±j"
"C13","»B»A","§f§Ó¤å","","¨k","¨t²Î¤uµ{","¿W¥ß¥Á¥D¬£","2015¦~10¤ë13¤é","","§f§Ó¤å"
"C14","¬f¬[¤s","¶À«Ø±l","","¨k","¥þÂ¾°ÏÄ³­û","¥Á¥D«Ø´ä¨ó¶iÁp·ù","2015¦~10¤ë2¤é","","¶À«Ø±l"
"C15","Ä_°¨¤s","ªò®a½÷","","¨k","*¤½¥q¸³¨Æ","¦Û¥ÑÄÒ","2015¦~10¤ë2¤é","","ªò®a½÷"
"C16","¬¶¥x¤s","Ã¹ºaµO","Ã¹¤s","¨k","¹qµøº·¹õ«Å¶Ç³ø¹õ­û","","2015¦~10¤ë7¤é","","Ã¹ºaµO(Ã¹¤s)"
"C17","«°¥«ªá¶é","³\²M¦w","","¨k","ªk«ß¤Î°]°ÈÅU°Ý","","2015¦~10¤ë2¤é","","³\²M¦w"
"C18","©M´I","³¢°¶<U+5F3A>","","¨k","¥þÂ¾Ä³­û","­»´ä¤u·|Áp¦X·|","2015¦~10¤ë2¤é","","³¢°¶<U+5F3A>"
"C19","³ùÂS","¬x³s§ü","","¨k","¤¤¾Ç±Ð®v","¥Á¥D«Ø´ä¨ó¶iÁp·ù","2015¦~10¤ë2¤é","","¬x³s§ü"
"C20","ÀA«Ì","½²¯À¥É","","¤k","°Ó¤H","¥Á¥D«Ø´ä¨ó¶iÁp·ù","2015¦~10¤ë9¤é","","½²¯À¥É"
"C21","¤¦®³","´¿¨ô¨à","","¤k","¤½¥q¸³¨Æ","¦Û¥ÑÄÒ","2015¦~10¤ë2¤é","","´¿¨ô¨à"
"C21","¤¦®³","¾G¹FÂE","","¨k","¦a°Ïµo®i¥D¥ô","¤½¥ÁÄÒ","2015¦~10¤ë5¤é","","¾G¹FÂE"
"C22","°·±d§ø","¾G§Ó¦¨","","¨k","¥þÂ¾°ÏÄ³­û","¥Á¥D«Ø´ä¨ó¶iÁp·ù","2015¦~10¤ë2¤é","","¾G§Ó¦¨"
"C23","<U+9C02>³½¯F","¤B¦¿¯E","","¨k","¤¤¾Ç±Ð®v","¥Á¥D«Ø´ä¨ó¶iÁp·ù","2015¦~10¤ë2¤é","","¤B¦¿¯E"
"C23","<U+9C02>³½¯F","¸­´¼¼w","","¨k","±Ð®v","","2015¦~10¤ë14¤é","","¸­´¼¼w"
"C24","«nÂ×","±i°ê©÷","","¨k","¥þÂ¾°ÏÄ³­û","¥Á¥DÄÒ","2015¦~10¤ë2¤é","","±i°ê©÷"
"C24","«nÂ×","·¨Àq","","¨k","°ÏÄ³­û/Âå¾Ç±Ð±Â","","2015¦~10¤ë7¤é","","·¨Àq"
"C24","«nÂ×","§õ¿A²`","","¨k","","","2015¦~10¤ë8¤é","","§õ¿A²`"
"C25","±d©É","¬xÀs¯þ","","¨k","","·s¥ÁÄÒ","2015¦~10¤ë2¤é","","¬xÀs¯þ"
"C25","±d©É","±ç¿o±Ó","","¤k","°ª¯Å¬Fªv¬ã¨s¤Î¦a°Ï²ÎÄw·F¨Æ","¤½¥ÁÄÒ","2015¦~10¤ë5¤é","","±ç¿o±Ó"
"C25","±d©É","¶ÀÄ_¨à","","¤k","","","2015¦~10¤ë12¤é","","¶ÀÄ_¨à"
"C26","±d¤s","¦¿¥ÉÅw","","¤k","«ß®v","·s¥ÁÄÒ","2015¦~10¤ë2¤é","","¦¿¥ÉÅw"
"C26","±d¤s","±ç¥ü·s","","¨k","¥«³õ¬ã¨sÁ`ºÊ","¤½¥ÁÄÒ","2015¦~10¤ë5¤é","","±ç¥ü·s"
"C27","¿³ªF","³\ªL¼y","","¨k","¥Á¿ï°ÏÄ³­û","­»´ä¤u·|Áp¦X·|","2015¦~10¤ë2¤é","","³\ªL¼y"
"C27","¿³ªF","´¿°ê½÷","","¨k","ªÀ°Ï·F¨Æ","¤uÄÒ","2015¦~10¤ë5¤é","","´¿°ê½÷"
"C28","¦èÆWªe","¦¿¿AÀÚ","","¨k","°ÏÄ³­û","¿W¥ßµLÄÒ¬£","2015¦~10¤ë2¤é","","¦¿¿AÀÚ"
"C28","¦èÆWªe","³Á¼w¥¿","","¨k","ªÀ°Ï·F¨Æ","¤uÄÒ","2015¦~10¤ë5¤é","","³Á¼w¥¿"
"C29","¤UÄ£ªF","¤ý¸Ö®i","","¨k","¸g²z","","2015¦~10¤ë2¤é","","¤ý¸Ö®i"
"C29","¤UÄ£ªF","¤ý§ÓÁé","","¨k","¦æ¬F","¥Á¥D«Ø´ä¨ó¶iÁp·ù","2015¦~10¤ë2¤é","","¤ý§ÓÁé"
"C29","¤UÄ£ªF","§dÀA°¶","","¨k","¿ïÁ|¤uµ{ÅU°Ý","¿W¥ß¥Á¥D¬£","2015¦~10¤ë8¤é","","§dÀA°¶"
"C30","¤WÄ£ªF","»¯¸ê±j","","¨k","¥Á¿ï°ÏÄ³­û","­»´ä¤u·|Áp¦X·|","2015¦~10¤ë2¤é","","»¯¸ê±j"
"C31","¿³¥Á","¼B¼y´­","","¨k","°ÏÄ³­û","¥Á¥D«Ø´ä¨ó¶iÁp·ù","2015¦~10¤ë2¤é","","¼B¼y´­"
"C31","¿³¥Á","±iÂ@¨¹","","¨k","ªÀ¤u","","2015¦~10¤ë9¤é","","±iÂ@¨¹"
"C32","¼Ö±d","§õ¶i¬î","","¤k","°ÏÄ³­û","","2015¦~10¤ë3¤é","","§õ¶i¬î"
"C32","¼Ö±d","´¿°·¦¨","ªü¤û","¨k","ªÀ°Ï·F¨Æ","ªÀ·|¥Á¥D³s½u","2015¦~10¤ë8¤é","","´¿°·¦¨(ªü¤û)"
"C32","¼Ö±d","­Û¤å³Ç","","¨k","","","2015¦~10¤ë15¤é","","­Û¤å³Ç"
"C33","»A¼w","§õÂí±j","","¨k","¸g²z","¦Û¥ÑÄÒ","2015¦~10¤ë2¤é","","§õÂí±j"
"C33","»A¼w","§õ°·«í","","¨k","·|­p®v","","2015¦~10¤ë14¤é","","§õ°·«í"
"C34","º®ÆW","Áé¾ð®Ú","","¨k","¥þÂ¾Ä³­û","¥Á¥D«Ø´ä¨ó¶iÁp·ù","2015¦~10¤ë13¤é","","Áé¾ð®Ú"
"C34","º®ÆW","®}¤l¨£","","¨k","¤p¥ø·~¸gÀçªÌ","¿W¥ß","2015¦~10¤ë15¤é","","®}¤l¨£"
"C35","¨Î¾å","ªL»A½¬","","¤k","¥þÂ¾°ÏÄ³­û","","2015¦~10¤ë2¤é","","ªL»A½¬"
"C35","¨Î¾å","´Ó¼ä¹a","","¤k","¥ßªk·|Ä³­û§U²z","¿W¥ß","2015¦~10¤ë9¤é","","´Ó¼ä¹a"
"D01","­»´ä¥J","¥ô¸¶µY","","¤k","¤½¥q¸³¨Æ","¿W¥ß­Ô¿ï¤H","2015¦~10¤ë2¤é","","¥ô¸¶µY"
"D01","­»´ä¥J","¤å»¨±j","","¨k","","¤½¥ÁÄÒ","2015¦~10¤ë7¤é","","¤å»¨±j"
"D01","­»´ä¥J","¦ó°¶«T","","¨k","¬Fµ¦¬ã¨s","*¿W¥ß­Ô¿ï¤H","2015¦~10¤ë9¤é","","¦ó°¶«T"
"D01","­»´ä¥J","§õ³Ç¿³","","¨k","°ª¯Å²z°]µ¦¹ºÅU°Ý","","2015¦~10¤ë9¤é","","§õ³Ç¿³"
"D02","Àn<U+8137>¬w<U+90A8>","ªL¥É¬Ã","","¤k","¥þÂ¾«n°Ï°ÏÄ³­û","¿W¥ß­Ô¿ï¤H","2015¦~10¤ë2¤é","","ªL¥É¬Ã"
"D03","Àn<U+8137>¬w¥_","±i¿ü®e","","¤k","¥þÂ¾°ÏÄ³­û","¿W¥ß­Ô¿ï¤H","2015¦~10¤ë2¤é","","±i¿ü®e"
"D03","Àn<U+8137>¬w¥_","±ç°ê±j","","¨k","¤½¥q¸³¨Æ","","2015¦~10¤ë15¤é","","±ç°ê±j"
"D04","§QªF¤@","§õ¹Å¬Õ","","¤k","","¥Á«ØÁp","2015¦~10¤ë2¤é","","§õ¹Å¬Õ"
"D04","§QªF¤@","°Ï¿Õ°a","","¨k","¥þÂ¾°ÏÄ³­û","¥Á¥DÄÒ/Àn<U+8137>¬wªÀ°ÏÂ¾¤u·|","2015¦~10¤ë2¤é","","°Ï¿Õ°a"
"D04","§QªF¤@","¶À¼í°ò","","¨k","","¼ö¦å¤½¥Á","2015¦~10¤ë12¤é","","¶À¼í°ò"
"D05","§QªF¤G","´^¥ü°ò","","¨k","","¥Á«ØÁp","2015¦~10¤ë2¤é","","´^¥ü°ò"
"D05","§QªF¤G","Ã¹°·º³","","¨k","¥þÂ¾°ÏÄ³­û","¥Á¥DÄÒ","2015¦~10¤ë2¤é","","Ã¹°·º³"
"D05","§QªF¤G","¾H¹Å¼Ö","","¨k","¼Æ½X¦L¨ê","","2015¦~10¤ë12¤é","","¾H¹Å¼Ö"
"D05","§QªF¤G","½²¤åÀs","","¨k","","*¼ö¦å¤½¥Á","2015¦~10¤ë12¤é","","½²¤åÀs"
"D06","®ü©ÉªF","ªL±Ò·u","","¨k","µ¦¹ºÅU°Ý","¿W¥ß­Ô¿ï¤H","2015¦~10¤ë7¤é","","ªL±Ò·u"
"D06","®ü©ÉªF","³¯®a¬¥","","¨k","°Æ±Ð±Â/¥ßªk·|Ä³­û","¤½¥ÁÄÒ","2015¦~10¤ë7¤é","","³¯®a¬¥"
"D06","®ü©ÉªF","°Ï¤¸µo","","¨k","¥b°h¥ð","","2015¦~10¤ë9¤é","","°Ï¤¸µo"
"D07","®ü©É¦è","³¯®a¯\","","¤k","¥þÂ¾°ÏÄ³­û","·s¥ÁÄÒ","2015¦~10¤ë3¤é","","³¯®a¯\"
"D07","®ü©É¦è","°KÀ±©ú","","¤k","¤½¥q¸³¨Æ","¤H¥Á¤O¶q","2015¦~10¤ë14¤é","","°KÀ±©ú"
"D08","µØ¶Q","³ÁÁÂ¥©¬Â","","¤k","®Õªø","¥Á«ØÁp","2015¦~10¤ë2¤é","","³ÁÁÂ¥©¬Â"
"D08","µØ¶Q","·¨¤p¾À","","¤k","¤½¥q¸³¨Æ","¥Á¥DÄÒ","2015¦~10¤ë2¤é","","·¨¤p¾À"
"D08","µØ¶Q","¼B<U+6822>§Í","","¨k","","","2015¦~10¤ë15¤é","","¼B<U+6822>§Í"
"D09","µØ´I«n","¼Ú¥ß¦¨","","¨k","¥þÂ¾°ÏÄ³­û","","2015¦~10¤ë2¤é","","¼Ú¥ß¦¨"
"D09","µØ´I«n","¾¤º³µY","","¤k","¦a°Ï·F¨Æ","¥Á¥DÄÒ","2015¦~10¤ë2¤é","","¾¤º³µY"
"D10","µØ´I¥_","¶À¤~¥ß","","¨k","¦a°Ï²ÎÄw¥D¥ô","¥Á«ØÁp","2015¦~10¤ë2¤é","","¶À¤~¥ß"
"D10","µØ´I¥_","®ã¤åÃv","","¨k","«n°Ï°ÏÄ³­û","¥Á¥DÄÒ","2015¦~10¤ë2¤é","","®ã¤åÃv"
"D10","µØ´I¥_","¤¨§û®ï","","¤k","","","2015¦~10¤ë8¤é","","¤¨§û®ï"
"D10","µØ´I¥_","Ã¹¤ëµØ","","¤k","²z°]µ¦¹º¥D¥ô","¿W¥ß­Ô¿ï¤H","2015¦~10¤ë10¤é","","Ã¹¤ëµØ"
"D11","Á¡§ßªL","·¨­õ¦w","","¨k","°õ¦æ¸³¨Æ","¦Û¥ÑÄÒ","2015¦~10¤ë5¤é","","·¨­õ¦w"
"D11","Á¡§ßªL","¥q°¨¤å","","¨k","°ÏÄ³­û","¿W¥ß¥Á¥D¬£","2015¦~10¤ë8¤é","","¥q°¨¤å"
"D12","¸m´I","¦¶¼y­i","","¨k","°ÏÄ³­û/¤j¾ÇÅU°Ý","¿W¥ß­Ô¿ï¤H","2015¦~10¤ë2¤é","","¦¶¼y­i"
