ConstituencyCode,Constituency,Candidate,Politics,Camp
C24,NAM FUNG,CHEUNG KWOK CHEONG,The Democratic Party,D
C24,NAM FUNG,YANG MO,,B
C24,NAM FUNG,LI CHAK SUM,,U
C25,KORNHILL,HUNG LUNG CHUEN,New People・s Party,B
C25,KORNHILL,LEUNG WING MAN(BONNIE),Civic Party,D
C25,KORNHILL,WONG PO YI,,U
C26,KORNHILL GARDEN,KONG YUK FOON DOREEN,New People・s Party,B
C26,KORNHILL GARDEN,LEUNG SIU SUN,Civic Party,D
C27,HING TUNG,HUI LAM HING,The Hong Kong Federation of Trade Unions,B
C27,HING TUNG,TSANG KWOK FAI,Labour Party,D
C28,SAI WAN HO,KONG CHACK HO,Independent,B
C28,SAI WAN HO,MAK TAK CHING,Labour Party,D
C29,LOWER YIU TUNG,WONG SZE CHIN RICKY(RICKY),,B
C29,LOWER YIU TUNG,WONG CHI CHUNG(DOMINIC),Democratic Alliance for the Betterment and Progress of Hong Kong,B
C29,LOWER YIU TUNG,NG KAM WAI,,D
C30,UPPER YIU TUNG,CHIU CHI KEUNG,The Hong Kong Federation of Trade Unions,B
C31,HING MAN,LAU HING YEUNG,Democratic Alliance for the Betterment and Progress of Hong Kong,B
C31,HING MAN,CHEUNG CHUN PONG,,D
C32,LOK HONG,LI CHUN CHAU,,B
C32,LOK HONG,TSANG KIN SHING(THE BULL),League of Social Democrats,D
C32,LOK HONG,LUN MAN KIT,,U
C33,TSUI TAK,LEE CHUN KEUNG,Liberal Party,B
C33,TSUI TAK,LI KIN HANG,,D
C34,YUE WAN,CHUNG SHU KUN CHRISTOPHER(CHRIS CHUNG),Democratic Alliance for the Betterment and Progress of Hong Kong,B
C34,YUE WAN,CHUI CHI KIN,Independent,D
C35,KAI HIU,LAM CHUI LIN(ALICE),,B
C35,KAI HIU,CHIK KIT LING ELAINE,Independent,B
D01,ABERDEEN,YAM PAULINE,Independent Candidate,B
D01,ABERDEEN,MAN HO KEUNG ZICO,Civic Party,D
D01,ABERDEEN,HO WAI CHUN,,U
D01,ABERDEEN,LEE KIT HING,,B
D02,AP LEI CHAU ESTATE,LAM YUK CHUN,Independent Candidate,B
D03,AP LEI CHAU NORTH,CHEUNG SIK YUNG,Independent Candidate,B
D03,AP LEI CHAU NORTH,LEUNG KWOK KEUNG,,U
D04,LEI TUNG I,LI KA YING,DAB,B
D04,LEI TUNG I,AU NOK HIN,The Democratic Party/Ap Lei Chau Community Trade Union,D
D04,LEI TUNG I,WONG YUN KEI,,U
D05,LEI TUNG II,PANG SIU KEI,DAB,B
D05,LEI TUNG II,LO KIN HEI,The Democratic Party,D
D05,LEI TUNG II,TANG KA LOK,,U
D05,LEI TUNG II,TSOI MAN LUNG TIMOTHY,*Civic Passion,U
D06,SOUTH HORIZONS EAST,LAM KAI FAI,Independent Candidate,B
D06,SOUTH HORIZONS EAST,CHAN KA LOK(DR. KENNETH CHAN),Civic Party,D
D06,SOUTH HORIZONS EAST,AU YUEN FAT JOSEPH,,D
D07,SOUTH HORIZONS WEST,CHAN JUDY KAPUI,New People・s Party,B
D07,SOUTH HORIZONS WEST,YUEN MI MING ERICA,People Power,D
D08,WAH KWAI,MAK TSE HOW LING ADA,DAB,B
D08,WAH KWAI,YEUNG SIU PIK,Democratic Party,D
D08,WAH KWAI,LAU PAK TUNG(DANIEL LAU),,U
D09,WAH FU SOUTH,AU LAP SING,,B
D09,WAH FU SOUTH,LI SHEE LIN,The Democratic Party,D
D10,WAH FU NORTH,WONG CHOI LAP,DAB,B
D10,WAH FU NORTH,CHAI MAN HON,The Democratic Party,D
D10,WAH FU NORTH,WUN KEI YAN,,U
D10,WAH FU NORTH,LAW YUET WAH,Independent Candidate,U
D11,POKFULAM,YOUNG CHIT ON JEREMY,Liberal Party,B
D11,POKFULAM,ZIMMERMAN PAULUS JOHANNES(PAUL ZIMMERMAN),Independent Democrat,D
D12,CHI FU,CHU CHING HONG,Independent Candidate,B
D12,CHI FU,YIU CHUNG YIM,,D
D13,TIN WAN,CHAN FU MING,,B
D14,SHEK YUE,CHU LAP WAI,DAB,B
D15,WONG CHUK HANG,CHAN WING YAN,*The Hong Kong Federation of Trade Unions,B
D15,WONG CHUK HANG,TSUI YUEN WA,Democratic Party,D
D16,BAYS AREA,SCHAUS DAVID JOHN(DAVID SCHAUS),,U
D16,BAYS AREA,FUNG SE GOUN FERGUS,Liberal Party,B
D17,STANLEY & SHEK O,YAO JIE NING MAXINE,,B
D17,STANLEY & SHEK O,LEE PUI YING(CHAN LEE PUI-YING),,B
D17,STANLEY & SHEK O,TSANG TSZ HO,Liberal Party,B
E01,TSIM SHA TSUI WEST,HUNG CHIU WAH(DEREK),DAB,B
E01,TSIM SHA TSUI WEST,LAU CHI HUNG,,D
E02,JORDAN SOUTH,IP NGO TUNG CHRIS,DAB,B
E02,JORDAN SOUTH,LUI NGAR YEE JOEY,,U
E03,JORDAN WEST,CHAN SIU TONG,DAB,B
E04,YAU MA TEI SOUTH,AU YEUNG TUNG,Hong Kong Association for Democracy and People's Livelihood,D
E04,YAU MA TEI SOUTH,YEUNG TSZ HEI(BENNY),DAB,B
E05,CHARMING,LEE WAI FUNG,The Democratic Party,D
E05,CHARMING,CHUNG KONG MO,DAB,B
E06,MONG KOK WEST,HUI TAK LEUNG,,B
E07,FU PAK,YU TAK PO,Civic Party,D
E07,FU PAK,LAW SIU HUNG PAUL,Independent Candidate,B
E08,OLYMPIC,KO HIU WING(PATRICK),Independent Candidate,B
E08,OLYMPIC,TO KUN SUN JAMES,The Democratic Party,D
E09,CHERRY,CHUNG CHAK FAI,,B
E09,CHERRY,LAM HO YEUNG,The Democratic Party,D
E09,CHERRY,NAKADE HITSUJIKO,,U
E10,TAI KOK TSUI SOUTH,CHOI SIU FUNG BENJAMIN,DAB,B
E10,TAI KOK TSUI SOUTH,LAI YIU CHUN,Youngspiration,D
E11,TAI KOK TSUI NORTH,WONG KA YING,Civic Party,D
E11,TAI KOK TSUI NORTH,LAU PAK KEI,DAB,B
E12,TAI NAN,CHONG WING CHARN FRANCIS,Kowloon West New Dynamic/BPA,B
E12,TAI NAN,CHIU YUK KWONG,Youngspiration,D
E12,TAI NAN,FUNG JOSHUA MAN TAO,The Democratic Party,D
E13,MONG KOK NORTH,WONG SHU MING,Kowloon West New Dynamic,B
E13,MONG KOK NORTH,WONG KA CHUN,Youngspiration,D
E14,MONG KOK EAST,TSE JEFFERSON KELLER,Independent,U
E14,MONG KOK EAST,LAU CHUN YIP,The Democratic Party,D
E14,MONG KOK EAST,WONG KIN SAN,,B
E15,MONG KOK SOUTH,CHOW CHUN FAI,,B
E16,YAU MA TEI NORTH,LAM KIN MAN,ADPL,D
E16,YAU MA TEI NORTH,MAN YUN WA,*FTU,B
E17,EAST TSIM SHA TSUI & KING'S PARK,TANG MING SUM MICHELLE,,B
E17,EAST TSIM SHA TSUI & KING'S PARK,CHAN MAN YU HENRY,The Professional Commons,D
E18,TSIM SHA TSUI CENTRAL,AHUJA GOPALDAS HOLARAM(GARY AHUJA),,U
E18,TSIM SHA TSUI CENTRAL,KWAN SAU LING,DAB,B
E18,TSIM SHA TSUI CENTRAL,LIU SIU FAI,,B
E19,JORDAN NORTH,JO CHUN WAH(CRAIG),DAB,B
E19,JORDAN NORTH,CHICK CHI LEUNG,,D
F01,PO LAI,TSE HIU HUNG,,B
F01,PO LAI,LEUNG YAU FONG,ADPL,D
F02,CHEUNG SHA WAN,LAM KA FAI AARON,BPA/Kowloon West New Dynamic,B
F02,CHEUNG SHA WAN,LEE MAN HO LEOS,,D
F02,CHEUNG SHA WAN,LAM SHUI HUM,,U
F03,NAM CHEONG NORTH,CHENG WING SHUN VINCENT,DAB,B
F03,NAM CHEONG NORTH,CHAN WING FAI JORDAN,People Power,D
F04,SHEK KIP MEI,CHAN KWOK WAI,,B
F04,SHEK KIP MEI,TSUNG PO SHAN,ADPL,D
F05,NAM CHEONG EAST,MIU HOI MING,DAB,B
F05,NAM CHEONG EAST,HO KAI MING KALVIN,ADPL,D
F06,NAM CHEONG SOUTH,LEE WING MAN,The Federation of Hong Kong & Kowloon Labour Unions,B
F06,NAM CHEONG SOUTH,LAM WAI TONG,,
F07,NAM CHEONG CENTRAL,LAU PUI YUK,DAB,B
F07,NAM CHEONG CENTRAL,MAK WAI MING,Independent,
F08,NAM CHEONG WEST,WAI WOON NAM,ADPL,D
F08,NAM CHEONG WEST,HEUNG MING HAU,Independent Candidate,
F09,FU CHEONG,LI KWING,ADPL,D
F09,FU CHEONG,LEUNG MAN KWONG,,
F10,LAI KOK,CHAN WING YAN,DAB/FTU,B
F10,LAI KOK,FUNG KIN KEE FREDERICK,ADPL,D
F10,LAI KOK,WONG CHUNG KI ERIC,,
F11,FORTUNE,CHEUNG TAK WAI,DAB,B
F11,FORTUNE,CHOW WING HENG(ZO ),ADPL,D
F12,LAI CHI KOK SOUTH,TAN WIE HON DERRICK,DAB,B
F12,LAI CHI KOK SOUTH,YEUNG YUK,ADPL,D
F12,LAI CHI KOK SOUTH,MUI YU,,
F13,MEI FOO SOUTH,WONG TAT TUNG,DAB,B
F13,MEI FOO SOUTH,WONG TAK CHUEN JOE,Civic Party,D
F13,MEI FOO SOUTH,TZENG LI WEN JUDY,,
F14,MEI FOO CENTRAL,NG YUET LAN,Civic Party,D
F14,MEI FOO CENTRAL,SHUM SIU HUNG,,
F14,MEI FOO CENTRAL,CHAN CHUNG KONG STEPHEN,,
F15,MEI FOO NORTH,LI CHUN HEI JOSHUA,Civic Party,D
F15,MEI FOO NORTH,CHEUNG WING SUM AMBROSE,Independent,
F16,LAI CHI KOK CENTRAL,LI KI FUNG BRUCE(BRUCE),BPA/Kowloon West New Dynamic,B
F16,LAI CHI KOK CENTRAL,YUEN HOI MAN(RAMON),The Democratic Party,D
F17,LAI CHI KOK NORTH,WONG KING(DR. KING),,
F17,LAI CHI KOK NORTH,CHUM TAK SHING,ADPL,D
F17,LAI CHI KOK NORTH,WU SAI CHUEN,,
F18,UN CHAU & SO UK,CHAN WAI MING,*DAB,B
F18,UN CHAU & SO UK,FONG CHI LUNG,,
F19,LEI CHENG UK,CHAN KENG CHAU,Kowloon West New Dynamic,B
F19,LEI CHENG UK,KONG KWAI SANG,Hong Kong Association for Democracy and People's Livelihood,D
F20,HA PAK TIN,YAN KAI WING,,
F20,HA PAK TIN,TANG MEI CHING(SALLY),Socialist Action,D
F21,YAU YAT TSUEN,LEE TSZ KING DOMINIC(DOMINIC),Liberal Party,B
F21,YAU YAT TSUEN,CHAU DICKSON KA FAAT,League of Social Democrats,D
F22,"NAM SHAN, TAI HANG TUNG & TAI HANG SAI",TAM KWOK KIU,ADPL,D
F22,"NAM SHAN, TAI HANG TUNG & TAI HANG SAI",WAI HOI YING,Kowloon West New Dynamic,B
F22,"NAM SHAN, TAI HANG TUNG & TAI HANG SAI",FOO WAI LOK,,
F23,LUNG PING & SHEUNG PAK TIN,LAM WAI MAN RAYMOND,,
F23,LUNG PING & SHEUNG PAK TIN,NG MEI CARMAN,Hong Kong Association for Democracy and People's Livelihood,D
F23,LUNG PING & SHEUNG PAK TIN,CHENG CHI HONG,,
G01,MA TAU WAI,MOK KA HAN ROSANDA,ADPL,D
G01,MA TAU WAI,SIU TIN HUNG(TERENCE),DAB,B
G02,MA HANG CHUNG,LAI KWONG WAI,ADPL,D
G02,MA HANG CHUNG,WONG YUN CHEONG,HKFTU,B
G02,MA HANG CHUNG,LAU SHU YIN,,
G03,MA TAU KOK,KWAN HO YEUNG,DAB,B
G03,MA TAU KOK,AU WING HO,,
G04,LOK MAN,YANG WING KIT,,
G04,LOK MAN,PONG YAT MING,,
G05,SHEUNG LOK,WONG WING KIT,Hong Kong Association for Democracy and People・s Livelihood,D
G05,SHEUNG LOK,LUK KING KWONG,DAB,B
G05,SHEUNG LOK,CHAN KA LING JUDY,,
G06,HO MAN TIN,CHENG LEE MING,,
G06,HO MAN TIN,CHAN LAI KWAN,The Democratic Party,D
G07,KADOORIE,SIU LEONG SING,ADPL,D
G07,KADOORIE,WONG CHI,,
G07,KADOORIE,LAU HOK WAI,,
G08,PRINCE,LEE CHI FAI,Restore Hong Kong,B
G08,PRINCE,TING KIN WA,Independent Candidate,
G09,KOWLOON TONG,HO HIN MING,Liberal Party,B
G10,LUNG SHING,WONG MAN SING,,
G10,LUNG SHING,NG PO KEUNG,DAB,B
G11,SUNG WONG TOI,YEUNG CHUN YU,ADPL,D
G11,SUNG WONG TOI,CHENG CHUN WAH GARY,The Hong Kong Federation of Trade Unions,B
G11,SUNG WONG TOI,IP CHI WAI ALEXANDER,,
G12,KAI TAK NORTH,LI TING FUNG,Hong Kong Association for Democracy and People・s Livelihood,D
G12,KAI TAK NORTH,LEUNG YUEN TING,,
G12,KAI TAK NORTH,LAM HEI TING MIRANDA,,
G12,KAI TAK NORTH,CHAN PO YUK,,
G12,KAI TAK NORTH,SUN CHAO HANG,,
G13,KAI TAK SOUTH,HE HUAHAN,,
G13,KAI TAK SOUTH,SO YEE MAN,The Democratic Party,D
G14,HOI SHAM,PUN KWOK WAH,DAB,B
G14,HOI SHAM,LEE KA WAI,,
G15,TO KWA WAN NORTH,LEE WAI KING STARRY,DAB,B
G15,TO KWA WAN NORTH,SHUM TAI FUNG,,
G15,TO KWA WAN NORTH,LAM YI LAI,,
G16,TO KWA WAN SOUTH,LAM POK,,
G16,TO KWA WAN SOUTH,CHONG LAI LING,The Democratic Party,D
G17,HOK YUEN LAGUNA VERDE,YUE CHEE WING ADMOND,,
G17,HOK YUEN LAGUNA VERDE,SIU YUEN SHEUNG,DAB,B
G17,HOK YUEN LAGUNA VERDE,YEUNG KE CHEONG,,
G18,WHAMPOA EAST,LEUNG MEI FUN,Kowloon West New Dynamic/BPA Services Company Limited,B
G18,WHAMPOA EAST,YAU WAI CHING,Youngspiration,D
G18,WHAMPOA EAST,LAW SHEK MING,,
G19,WHAMPOA WEST,LAU WAI WING,,
G19,WHAMPOA WEST,KWONG PO YIN,Youngspiration,D
G20,HUNG HOM BAY,CHIU SHI SHUN,Labour Party,D
G20,HUNG HOM BAY,CHEUNG YAN HONG,,
G20,HUNG HOM BAY,FUNG KING MAN VIRGINIA,,
G20,HUNG HOM BAY,LI CALVIN KAM CHEONG,,
G21,HUNG HOM,YUM KWOK TUNG PIUS,ADPL,D
G21,HUNG HOM,LAM TAK SHING,Democratic Alliance for the Betterment and Progress of Hong Kong,B
G21,HUNG HOM,WONG CHI KEUNG,,
G22,KA WAI,LO CHIU KIT,,
G22,KA WAI,CHAN SHU HAN,,
G23,OI MAN,NG FAN KAM,DAB,B
G23,OI MAN,MA HEI PANG,The Democratic Party,D
G24,OI CHUN,CHO WUI HUNG,,
G24,OI CHUN,CHAN YAU CHEONG,Civic Party,D
H01,LUNG TSUI,YEUNG MAN SEK EDMOND(BONBON),Independent,
H01,LUNG TSUI,LEE TUNG KONG,Independent Candidate,
H01,LUNG TSUI,TSANG CHEUK KUEN JACKAL,Independent,
H02,LUNG HA,LEE YIM HUNG,,
H02,LUNG HA,KWOK SAU YING,*Independent,
H03,LUNG SHEUNG,LAM MAN FAI,,
H03,LUNG SHEUNG,LAM WAI KEI(RICKY),Democratic Party,D
H03,LUNG SHEUNG,CHOW LAI CHEONG,Independent,
H04,FUNG WONG,WONG KAM CHIU,,
H04,FUNG WONG,CHAN YIM KWONG JOE,,
H04,FUNG WONG,WONG TSZ HANG,Non-affiliated Candidate,
H05,FUNG TAK,KAN CHI HO,DAB,B
H05,FUNG TAK,WONG KWOK KEUNG,Independent,
H06,LUNG SING,NGOK KING FUN,*Independent,
H06,LUNG SING,TAM HEUNG MAN,The Frontier,D
H06,LUNG SING,LAM JOSEPH CHOK,,
H06,LUNG SING,HO WAI KUEN,Non-affiliated Candidate,
H07,SAN PO KONG,LUI KAI LIN WENDY,*Independent Candidate,
H07,SAN PO KONG,WAT KI ON,Independent Candidate,
H08,TUNG TAU,LI TAK HONG,DAB,B
H08,TUNG TAU,CHEUNG PAK HANG,Independent,
H09,TUNG MEI,WONG KWOK YAN,DAB,B
H09,TUNG MEI,SZE TAK LOY,ADPL,D
H10,LOK FU,CHAN WAI KWAN ANDIE,,
H10,LOK FU,YUEN YUET HING,Independent Candidate,
H11,WANG TAU HOM,LAI WING HO JOE,DAB,B
H12,TIN KEUNG,LEE HO YIN RAYMOND,Civic Party,D
H12,TIN KEUNG,CHAN ON TAI,Liberal Party,B
H13,TSUI CHUK & PANG CHING,SO SIK KIN,Independent Candidate,
H13,TSUI CHUK & PANG CHING,CHAN YING LEONARD,*Independent Candidate,
H13,TSUI CHUK & PANG CHING,LEE KA HING,Independent Candidate,
H14,CHUK YUEN SOUTH,HUI KAM SHING,Hong Kong Association for Democracy and People's Livelihood,D
H14,CHUK YUEN SOUTH,CHAN CHAK SUM,The Hong Kong Federation of Trade Unions,B
H15,CHUK YUEN NORTH,TING CHI WAI ROY,Independent Candidate,
H15,CHUK YUEN NORTH,CHAN KIT BING(ICE),People Power,D
H16,TSZ WAN WEST,YUEN KWOK KEUNG,DAB,B
H16,TSZ WAN WEST,YUNG SING KWONG,The Democratic Party,D
H16,TSZ WAN WEST,LEUNG YAU KING,Civic Passion,
H17,CHING OI,CHAN MAN KI MAGGIE,DAB,B
H17,CHING OI,MAK TSZ HO,Tsz Wan Shan Constructive Power,D
H18,CHING ON,WONG YAT YUK,*Independent,
H19,TSZ WAN EAST,HO HON MAN,DAB,B
H19,TSZ WAN EAST,TAM CHUN MAN,Tsz Wan Shan Constructive Power,D
H20,KING FU,WONG CHUN KIN,FTU,B
H20,KING FU,WU CHI WAI,The Democratic Party,D
H21,CHOI WAN EAST,CHOY TSZ KIN TIMOTHY,DAB,B
H21,CHOI WAN EAST,LOK WAI CHUEN,,
H21,CHOI WAN EAST,WONG KWOK TUNG,The Democratic Party,D
H22,CHOI WAN SOUTH,LI MEI LAN,DAB,B
H22,CHOI WAN SOUTH,SHUM WAN WA,The Democratic Party,D
H23,CHOI WAN WEST,TAM MEI PO,FTU/DAB,B
H23,CHOI WAN WEST,TSE CHI KIT,The Democratic Party,D
H24,CHI CHOI,HO YIN FAI,FTU/DAB,B
H24,CHI CHOI,WU CHI KIN,The Democratic Party,D
H25,CHOI HUNG,MOK KIN WING,FTU,B
H25,CHOI HUNG,LEUNG TAT POR,Independent,
J01,KWUN TONG CENTRAL,CHAN WAH YU NELSON,,
J02,KOWLOON BAY,POON YAM WAI CHUN WINNIE,,
J03,KAI YIP,AU YEUNG KWAN NOK,DAB,B
J03,KAI YIP,LAM SING,The Democratic Party,D
J04,LAI CHING,BUX SHEIK ANTHONY,Civic Party,D
J04,LAI CHING,POON CHUN YUEN,DAB,B
J05,PING SHEK,CHAN CHUN KIT,DAB,B
J06,SHEUNG CHOI,TAM SIU CHEUK,DAB,B
J07,JORDAN VALLEY,NGAN MAN YU,DAB,B
J07,JORDAN VALLEY,WONG WAI TAG,Democratic Party,D
J08,SHUN TIN,KWOK BIT CHUN(BENJAMIN),DAB,B
J08,SHUN TIN,MOK KIN SHING,Democratic Party,D
J09,SHEUNG SHUN,FU PIK CHUN,,
J10,ON LEE,LEUNG TANG FUNG,DAB,B
J10,ON LEE,CHOY CHAK HUNG,,
J10,ON LEE,CHO KAI FAI,,
J11,PO TAT,HUNG KAM IN,DAB,B
J11,PO TAT,TAM HO LAM,,
J12,SAU MAU PING NORTH,WONG CHUN PING,,
J13,HIU LAI,SO LAI CHUN,Independent Candidate,
J13,HIU LAI,FUNG KWOK KEUNG BONHOEFFER,,
J14,SAU MAU PING SOUTH,CHAN YIU HUNG JIMMY,Independent,
J14,SAU MAU PING SOUTH,KAI MING WAH,*The Democratic Party,D
J14,SAU MAU PING SOUTH,CHENG KWOK CHUN,Kowloon East Community,D
J15,SAU MAU PING CENTRAL,CHEUNG PUI KONG,,
J16,HING TIN,LO CHING,FTU,B
J16,HING TIN,CHAN MAN KIN,The Democratic Party,D
J17,LAM TIN,KAN MING TUNG,FTU,B
J17,LAM TIN,YAU MEI PO,,
J18,KWONG TAK,OR CHONG SHING WILSON,DAB,B
J19,PING TIN,NG CHI FAI,,
J19,PING TIN,YIU PAK LEUNG,Independent Candidate,
